applicant_id,municipality,application_year,selected,male,age_at_application,has_phone,ses_stratum,neighborhood,age_at_survey,survey_month,survey_form,household_visit,mother_educ,father_educ,mother_age,father_age,father_income_high,receiving_aid_now,started_g6_private,started_g7_private,in_private_now,in_school_now,highest_grade,finished_g6,finished_g7,finished_g8,repeats_g6,ever_repeated,total_repeats,years_in_school,married_or_cohab,has_child,working,hours_worked,cohort,age_gap,application_year_plus_age_gap,mother_child_age_gap,father_child_age_gap,flag_age_pair_missing,flag_age_decreases,flag_age_unchanged,flag_age_gap_outside_2_4,flag_grade_6_contradiction,flag_grade_7_contradiction,flag_grade_8_contradiction,flag_any_grade_contradiction,flag_mother_not_older_than_child,flag_mother_age_gap_under_12,flag_mother_age_gap_over_60,flag_father_not_older_than_child,flag_father_age_gap_under_12,flag_father_age_gap_over_60,flag_nonworker_positive_hours,flag_worker_zero_hours,flag_years_in_school_above_4,flag_selected_invalid_binary,flag_male_invalid_binary,flag_has_phone_invalid_binary,flag_survey_form_invalid_binary,flag_household_visit_invalid_binary,flag_father_income_high_invalid_binary,flag_receiving_aid_now_invalid_binary,flag_started_g6_private_invalid_binary,flag_started_g7_private_invalid_binary,flag_in_private_now_invalid_binary,flag_in_school_now_invalid_binary,flag_finished_g6_invalid_binary,flag_finished_g7_invalid_binary,flag_finished_g8_invalid_binary,flag_ever_repeated_invalid_binary,flag_married_or_cohab_invalid_binary,flag_has_child_invalid_binary,flag_working_invalid_binary,flag_ses_stratum_out_of_range,flag_neighborhood_out_of_range,flag_survey_month_out_of_range,flag_repeats_g6_out_of_range,flag_total_repeats_out_of_range,flag_private_but_not_enrolled,flag_g7_without_g6,flag_g8_without_g7,flag_g6_repeats_exceed_total,flag_any_repeat_disagrees_total,flag_hours_outside_0_168
100274,A,2020,1,1,14.0,1,3.0,11.0,16.0,2,0,0,2.0,,48.0,51.0,,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,32.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100275,A,2020,0,1,13.0,1,,18.0,15.0,3,0,0,5.0,5.0,34.0,44.0,1.0,0.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,19.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100276,A,2022,0,0,12.0,1,3.0,,12.0,7,1,0,5.0,4.0,37.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,A_2022,0.0,2022.0,25.0,38.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100277,A,2022,0,0,16.0,1,2.0,,16.0,7,1,0,8.0,3.0,36.0,63.0,0.0,0.0,1.0,1.0,1.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,A_2022,0.0,2022.0,20.0,47.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100278,A,2022,1,1,12.0,1,2.0,,12.0,7,1,0,11.0,11.0,32.0,34.0,0.0,0.0,1.0,1.0,1.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,A_2022,0.0,2022.0,20.0,22.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100279,A,2020,0,1,12.0,1,2.0,,14.0,3,0,0,5.0,0.0,37.0,42.0,0.0,0.0,1.0,0.0,0.0,1.0,7,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,23.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100280,A,2020,0,0,12.0,1,2.0,17.0,14.0,4,0,0,7.0,5.0,36.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,7,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,22.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100281,A,2020,0,0,13.0,1,,15.0,15.0,8,1,0,,,,32.0,,0.0,1.0,0.0,0.0,1.0,7,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100282,A,2020,1,1,14.0,1,2.0,,17.0,8,1,0,11.0,,40.0,,,0.0,1.0,1.0,0.0,0.0,7,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,40.0,A_2020,3.0,2023.0,23.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100283,A,2020,0,0,14.0,1,2.0,17.0,16.0,4,0,0,3.0,5.0,46.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,7,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,30.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100284,A,2020,0,1,16.0,1,2.0,5.0,18.0,3,0,0,,,,,,0.0,0.0,0.0,0.0,0.0,7,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,40.0,A_2020,2.0,2022.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100285,A,2022,1,0,12.0,1,2.0,,12.0,7,1,0,5.0,5.0,36.0,36.0,,0.0,1.0,1.0,1.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,A_2022,0.0,2022.0,24.0,24.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100286,A,2022,1,0,12.0,1,2.0,,13.0,7,1,0,2.0,3.0,32.0,43.0,0.0,0.0,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,A_2022,1.0,2023.0,19.0,30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100287,B,2018,1,1,11.0,0,2.0,,16.0,7,1,0,2.0,5.0,36.0,35.0,0.0,0.0,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,40.0,B_2018,5.0,2023.0,20.0,19.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100288,A,2020,0,0,12.0,1,2.0,17.0,14.0,3,0,0,7.0,5.0,34.0,36.0,0.0,0.0,1.0,0.0,0.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,20.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100289,A,2020,0,0,11.0,1,,19.0,14.0,5,0,0,7.0,9.0,33.0,37.0,1.0,0.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,19.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100290,A,2022,1,0,11.0,1,,,12.0,7,1,0,5.0,5.0,30.0,43.0,0.0,1.0,1.0,1.0,1.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,A_2022,1.0,2023.0,18.0,31.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100291,A,2020,1,1,14.0,1,3.0,17.0,16.0,3,0,0,,,,,,0.0,1.0,1.0,0.0,0.0,7,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,28.0,A_2020,2.0,2022.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100292,A,2022,0,1,13.0,1,2.0,,15.0,4,1,0,3.0,3.0,45.0,55.0,0.0,0.0,1.0,1.0,1.0,1.0,7,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,A_2022,2.0,2024.0,30.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100293,B,2018,1,0,11.0,1,2.0,,16.0,6,1,0,11.0,5.0,37.0,38.0,0.0,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,B_2018,5.0,2023.0,21.0,22.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100294,A,2020,1,0,12.0,1,,16.0,14.0,3,0,0,9.0,,42.0,52.0,,0.0,1.0,0.0,0.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,28.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100295,A,2020,0,0,14.0,1,3.0,18.0,16.0,2,0,0,6.0,4.0,37.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,21.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100296,A,2020,1,1,11.0,1,,5.0,13.0,3,0,0,5.0,5.0,32.0,34.0,0.0,0.0,1.0,1.0,0.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,19.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100297,A,2020,0,0,10.0,1,2.0,,12.0,4,0,0,5.0,10.0,27.0,33.0,,0.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,15.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100298,B,2018,0,0,11.0,0,2.0,,15.0,7,1,1,,,38.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,B_2018,4.0,2022.0,23.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100299,A,2020,1,1,13.0,1,2.0,19.0,16.0,2,0,0,2.0,6.0,39.0,38.0,0.0,1.0,1.0,1.0,0.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,23.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300,A,2020,0,0,13.0,1,2.0,4.0,15.0,4,0,0,3.0,11.0,38.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,A_2020,2.0,2022.0,23.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100301,A,2020,0,0,13.0,1,2.0,4.0,16.0,6,0,0,5.0,2.0,43.0,40.0,1.0,0.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,27.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100302,B,2018,1,1,13.0,1,3.0,,17.0,6,1,0,5.0,,39.0,,,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,8.0,B_2018,4.0,2022.0,22.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100303,A,2020,1,1,11.0,1,2.0,19.0,14.0,3,0,0,5.0,5.0,42.0,39.0,0.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,28.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100304,A,2022,1,1,12.0,1,,,13.0,8,1,0,5.0,,32.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,A_2022,1.0,2023.0,19.0,26.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100305,A,2022,1,0,12.0,1,2.0,,12.0,7,1,0,5.0,5.0,42.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,A_2022,0.0,2022.0,30.0,28.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100306,A,2020,1,1,13.0,1,,,16.0,6,0,0,4.0,,34.0,,,0.0,1.0,1.0,0.0,0.0,7,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,40.0,A_2020,3.0,2023.0,18.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100307,A,2022,1,1,14.0,1,1.0,,15.0,7,1,0,5.0,5.0,40.0,45.0,0.0,0.0,1.0,0.0,0.0,1.0,5,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,A_2022,1.0,2023.0,25.0,30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100308,A,2020,0,1,15.0,1,3.0,16.0,17.0,3,0,0,,,,,,0.0,0.0,0.0,0.0,1.0,7,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,40.0,A_2020,2.0,2022.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100309,A,2020,1,1,14.0,1,2.0,5.0,16.0,4,0,0,2.0,11.0,43.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,27.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100310,A,2020,1,0,13.0,1,2.0,,15.0,3,0,0,5.0,9.0,37.0,38.0,0.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,22.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100311,A,2020,1,0,13.0,1,,16.0,16.0,5,1,0,7.0,,35.0,,,0.0,0.0,0.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,19.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100312,A,2022,1,0,13.0,1,,,14.0,7,1,0,3.0,4.0,42.0,41.0,0.0,1.0,1.0,1.0,1.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,A_2022,1.0,2023.0,28.0,27.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100313,A,2020,0,0,12.0,1,2.0,15.0,15.0,3,0,0,9.0,,42.0,45.0,0.0,0.0,1.0,0.0,0.0,1.0,7,1.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,27.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100314,A,2020,0,1,14.0,1,1.0,8.0,16.0,6,0,0,5.0,3.0,39.0,41.0,0.0,0.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,23.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100315,B,2018,1,0,10.0,0,1.0,,15.0,7,1,0,5.0,,42.0,,,0.0,1.0,1.0,0.0,0.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,40.0,B_2018,5.0,2023.0,27.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100316,A,2020,1,1,12.0,1,2.0,19.0,14.0,3,0,0,7.0,7.0,39.0,43.0,,0.0,0.0,0.0,0.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,25.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100317,A,2020,1,1,12.0,1,1.0,19.0,15.0,4,0,0,5.0,5.0,34.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,19.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100318,A,2020,0,1,11.0,1,2.0,,14.0,3,0,0,3.0,4.0,35.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,32.0,A_2020,3.0,2023.0,21.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100319,A,2020,0,0,14.0,1,2.0,17.0,16.0,3,0,0,7.0,5.0,39.0,39.0,0.0,0.0,1.0,1.0,0.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,23.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100320,A,2020,1,0,11.0,1,1.0,18.0,13.0,8,1,0,9.0,2.0,46.0,68.0,0.0,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,33.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100321,A,2020,1,0,13.0,1,2.0,,15.0,3,0,0,2.0,,40.0,,,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,25.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100322,A,2022,0,1,13.0,1,1.0,,14.0,7,1,0,3.0,3.0,45.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,40.0,A_2022,1.0,2023.0,31.0,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100323,A,2020,0,0,15.0,1,2.0,19.0,17.0,4,0,0,0.0,,55.0,,,0.0,1.0,0.0,0.0,1.0,7,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,40.0,A_2020,2.0,2022.0,38.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100324,A,2020,1,1,13.0,1,2.0,,15.0,4,0,0,,,46.0,47.0,0.0,0.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,2.0,2022.0,31.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100325,A,2020,1,1,12.0,1,3.0,8.0,15.0,4,1,0,7.0,,,53.0,1.0,1.0,1.0,1.0,1.0,1.0,9,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100326,A,2020,1,0,14.0,1,1.0,11.0,17.0,3,0,0,2.0,5.0,51.0,52.0,0.0,0.0,1.0,1.0,1.0,1.0,7,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,34.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100327,A,2020,0,1,13.0,1,2.0,19.0,16.0,4,0,0,,,50.0,,,1.0,1.0,1.0,1.0,1.0,8,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,34.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100328,A,2022,0,1,13.0,1,1.0,,14.0,7,1,0,3.0,5.0,34.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A_2022,1.0,2023.0,20.0,22.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100329,A,2020,0,1,,1,1.0,5.0,18.0,8,1,0,4.0,,39.0,,,0.0,0.0,0.0,0.0,1.0,6,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,A_2020,,,21.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100330,A,2020,1,1,12.0,1,,,15.0,4,1,0,5.0,,44.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,A_2020,3.0,2023.0,29.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
